query,dataset,run_number,vanilla_time_sec
query33.sql,tpcds,6,17.19
query34.sql,tpcds,6,14.10
query35.sql,tpcds,6,16.99
query36.sql,tpcds,6,14.49
query37.sql,tpcds,6,15.01
query38.sql,tpcds,6,20.62
query39.sql,tpcds,6,fail
query4.sql,tpcds,6,37.05
query40.sql,tpcds,6,19.34
query41.sql,tpcds,6,10.73
query42.sql,tpcds,6,12.98
query43.sql,tpcds,6,13.07
query44.sql,tpcds,6,15.15
query45.sql,tpcds,6,14.04
query46.sql,tpcds,6,14.80
query47.sql,tpcds,6,18.26
query48.sql,tpcds,6,14.81
query49.sql,tpcds,6,20.02
query5.sql,tpcds,6,19.32
query50.sql,tpcds,6,22.57
query51.sql,tpcds,6,23.51
query52.sql,tpcds,6,13.06
query53.sql,tpcds,6,14.41
query54.sql,tpcds,6,18.21
query55.sql,tpcds,6,12.89
query56.sql,tpcds,6,15.99
query57.sql,tpcds,6,16.37
query58.sql,tpcds,6,16.94
query59.sql,tpcds,6,16.51
query6.sql,tpcds,6,20.66
query60.sql,tpcds,6,17.08
query61.sql,tpcds,6,10.77
query62.sql,tpcds,6,13.59
query63.sql,tpcds,6,14.91
query64.sql,tpcds,6,37.41
query65.sql,tpcds,6,18.99
query66.sql,tpcds,6,16.13
query67.sql,tpcds,6,fail
query68.sql,tpcds,6,15.13
query69.sql,tpcds,6,11.94
query7.sql,tpcds,6,15.63
query70.sql,tpcds,6,15.36
query71.sql,tpcds,6,15.51
query72.sql,tpcds,6,37.04
query73.sql,tpcds,6,14.62
query74.sql,tpcds,6,26.70
query75.sql,tpcds,6,24.26
query76.sql,tpcds,6,15.02
query77.sql,tpcds,6,17.64
query78.sql,tpcds,6,35.82
query79.sql,tpcds,6,14.39
query8.sql,tpcds,6,14.08
query80.sql,tpcds,6,35.00
query81.sql,tpcds,6,15.08
query82.sql,tpcds,6,16.13
query83.sql,tpcds,6,14.29
query84.sql,tpcds,6,13.74
query85.sql,tpcds,6,17.36
query86.sql,tpcds,6,13.58
query87.sql,tpcds,6,20.83
query88.sql,tpcds,6,17.60
query89.sql,tpcds,6,15.19
query9.sql,tpcds,6,15.24
query90.sql,tpcds,6,12.94
query91.sql,tpcds,6,13.08
query92.sql,tpcds,6,14.38
query93.sql,tpcds,6,25.73
query94.sql,tpcds,6,19.74
query95.sql,tpcds,6,27.95
query96.sql,tpcds,6,11.97
query97.sql,tpcds,6,18.84
query98.sql,tpcds,6,14.84
query99.sql,tpcds,6,14.13
1.sql,tpch,7,31.49
10.sql,tpch,7,21.98
11.sql,tpch,7,12.30
12.sql,tpch,7,17.37
13.sql,tpch,7,19.40
14.sql,tpch,7,14.49
15.sql,tpch,7,16.68
16.sql,tpch,7,18.93
17.sql,tpch,7,34.88
18.sql,tpch,7,34.92
19.sql,tpch,7,14.59
2.sql,tpch,7,15.65
20.sql,tpch,7,16.90
21.sql,tpch,7,32.96
22.sql,tpch,7,16.25
3.sql,tpch,7,20.66
4.sql,tpch,7,23.37
5.sql,tpch,7,31.10
6.sql,tpch,7,12.00
7.sql,tpch,7,29.78
8.sql,tpch,7,24.64
9.sql,tpch,7,30.56
query1.sql,tpcds,7,15.99
query10.sql,tpcds,7,16.01
query11.sql,tpcds,7,28.64
query12.sql,tpcds,7,14.06
query13.sql,tpcds,7,14.01
query14.sql,tpcds,7,fail
query15.sql,tpcds,7,14.72
query16.sql,tpcds,7,15.31
query17.sql,tpcds,7,29.94
query18.sql,tpcds,7,16.18
query19.sql,tpcds,7,13.78
query2.sql,tpcds,7,15.21
query20.sql,tpcds,7,13.74
query21.sql,tpcds,7,13.31
query22.sql,tpcds,7,14.61
query23.sql,tpcds,7,fail
query24.sql,tpcds,7,fail
query25.sql,tpcds,7,29.58
query26.sql,tpcds,7,15.11
query27.sql,tpcds,7,15.09
query28.sql,tpcds,7,19.13
query29.sql,tpcds,7,29.11
query3.sql,tpcds,7,13.29
query30.sql,tpcds,7,fail
query31.sql,tpcds,7,19.52
query32.sql,tpcds,7,13.98
query33.sql,tpcds,7,15.90
query34.sql,tpcds,7,14.31
query35.sql,tpcds,7,16.98
query36.sql,tpcds,7,14.76
query37.sql,tpcds,7,15.54
query38.sql,tpcds,7,20.87
query39.sql,tpcds,7,fail
query4.sql,tpcds,7,38.57
query40.sql,tpcds,7,19.74
query41.sql,tpcds,7,10.66
query42.sql,tpcds,7,12.83
query43.sql,tpcds,7,12.93
query44.sql,tpcds,7,15.87
query45.sql,tpcds,7,13.59
query46.sql,tpcds,7,15.14
query47.sql,tpcds,7,19.12
query48.sql,tpcds,7,15.34
query49.sql,tpcds,7,20.67
