query,dataset,runtime
query15.sql,tpcds,3228
query106.sql,tpcds,1614
query79.sql,tpcds,2925
query40.sql,tpcds,5804
query57.sql,tpcds,9754
query110.sql,tpcds,1823
query78.sql,tpcds,46254
query62.sql,tpcds,1672
query127.sql,tpcds,2351
query105.sql,tpcds,1273
query44.sql,tpcds,3184
query1.sql,tpcds,4025
query74.sql,tpcds,25040
query53.sql,tpcds,1421
query46.sql,tpcds,3319
query119.sql,tpcds,2832
query64.sql,tpcds,120384
query85.sql,tpcds,4378
query17.sql,tpcds,31836
query131.sql,tpcds,1849
query112.sql,tpcds,2185
query58.sql,tpcds,4414
query36.sql,tpcds,1959
query121.sql,tpcds,2706
query115.sql,tpcds,3125
query20.sql,tpcds,2036
query22.sql,tpcds,3692
query49.sql,tpcds,8917
query83.sql,tpcds,3144
query71.sql,tpcds,3155
query108.sql,tpcds,1608
query11.sql,tpcds,24031
query125.sql,tpcds,1659
query5.sql,tpcds,7592
query116.sql,tpcds,2302
query6.sql,tpcds,6069
query92.sql,tpcds,1655
query104.sql,tpcds,756
query88.sql,tpcds,6105
query65.sql,tpcds,5983
query52.sql,tpcds,838
query130.sql,tpcds,1476
query31.sql,tpcds,9048
query114.sql,tpcds,1952
query54.sql,tpcds,6005
query76.sql,tpcds,2988
query72.sql,tpcds,27503
query18.sql,tpcds,3439
query35.sql,tpcds,6409
query100.sql,tpcds,776
query95.sql,tpcds,11778
query90.sql,tpcds,1891
query7.sql,tpcds,2967
query37.sql,tpcds,1886
query21.sql,tpcds,2384
query93.sql,tpcds,11268
query129.sql,tpcds,1530
query109.sql,tpcds,1845
query126.sql,tpcds,2198
query29.sql,tpcds,21860
query50.sql,tpcds,12945
query87.sql,tpcds,10203
query10.sql,tpcds,4631
query118.sql,tpcds,2769
query82.sql,tpcds,3207
query117.sql,tpcds,2010
query120.sql,tpcds,2214
query98.sql,tpcds,2044
query122.sql,tpcds,1759
query33.sql,tpcds,3582
query94.sql,tpcds,4853
query9.sql,tpcds,5215
query101.sql,tpcds,1241
query42.sql,tpcds,1076
query70.sql,tpcds,3046
query73.sql,tpcds,2461
query16.sql,tpcds,8020
query26.sql,tpcds,3154
query32.sql,tpcds,1388
query123.sql,tpcds,2223
