query,dataset,run_number,listener_nowrite_time
query37.sql,tpcds,6,14.46
query38.sql,tpcds,6,25.64
query39.sql,tpcds,6,8.61
query4.sql,tpcds,6,61.27
query40.sql,tpcds,6,19.46
query41.sql,tpcds,6,10.84
query42.sql,tpcds,6,13.15
query43.sql,tpcds,6,12.99
query44.sql,tpcds,6,17.02
query45.sql,tpcds,6,14.25
query46.sql,tpcds,6,15.14
query47.sql,tpcds,6,32.34
query48.sql,tpcds,6,14.85
query49.sql,tpcds,6,21.51
query5.sql,tpcds,6,20.16
query50.sql,tpcds,6,20.56
query51.sql,tpcds,6,29.75
query52.sql,tpcds,6,13.16
query53.sql,tpcds,6,14.25
query54.sql,tpcds,6,20.13
query55.sql,tpcds,6,14.42
query56.sql,tpcds,6,17.15
query57.sql,tpcds,6,23.57
query58.sql,tpcds,6,16.84
query59.sql,tpcds,6,17.20
query6.sql,tpcds,6,19.37
query60.sql,tpcds,6,17.26
query61.sql,tpcds,6,13.50
query62.sql,tpcds,6,13.94
query63.sql,tpcds,6,14.13
query64.sql,tpcds,6,50.90
query65.sql,tpcds,6,19.59
query66.sql,tpcds,6,17.28
query67.sql,tpcds,6,8.22
query68.sql,tpcds,6,15.11
query69.sql,tpcds,6,15.38
query7.sql,tpcds,6,15.83
query70.sql,tpcds,6,15.83
query71.sql,tpcds,6,14.90
query72.sql,tpcds,6,34.61
query73.sql,tpcds,6,14.92
query74.sql,tpcds,6,41.39
query75.sql,tpcds,6,41.16
query76.sql,tpcds,6,14.92
query77.sql,tpcds,6,34.56
query78.sql,tpcds,6,37.10
query79.sql,tpcds,6,15.03
query8.sql,tpcds,6,15.09
query80.sql,tpcds,6,33.10
query81.sql,tpcds,6,16.63
query82.sql,tpcds,6,15.96
query83.sql,tpcds,6,15.36
query84.sql,tpcds,6,14.98
query85.sql,tpcds,6,17.95
query86.sql,tpcds,6,14.19
query87.sql,tpcds,6,25.43
query88.sql,tpcds,6,18.61
query89.sql,tpcds,6,16.00
query9.sql,tpcds,6,19.19
query90.sql,tpcds,6,13.31
query91.sql,tpcds,6,12.96
query92.sql,tpcds,6,14.37
query93.sql,tpcds,6,23.67
query94.sql,tpcds,6,18.97
query95.sql,tpcds,6,25.48
query96.sql,tpcds,6,11.43
query97.sql,tpcds,6,18.84
query98.sql,tpcds,6,14.93
query99.sql,tpcds,6,13.89
1.sql,tpch,7,32.26
10.sql,tpch,7,21.70
11.sql,tpch,7,12.33
12.sql,tpch,7,17.34
13.sql,tpch,7,18.12
14.sql,tpch,7,14.55
15.sql,tpch,7,17.58
16.sql,tpch,7,20.24
17.sql,tpch,7,35.57
18.sql,tpch,7,35.61
19.sql,tpch,7,15.18
2.sql,tpch,7,20.43
20.sql,tpch,7,23.07
21.sql,tpch,7,31.37
22.sql,tpch,7,15.02
3.sql,tpch,7,20.81
4.sql,tpch,7,17.24
5.sql,tpch,7,26.33
6.sql,tpch,7,12.08
7.sql,tpch,7,25.60
8.sql,tpch,7,28.63
9.sql,tpch,7,33.02
query1.sql,tpcds,7,16.45
query10.sql,tpcds,7,18.71
query11.sql,tpcds,7,42.38
query12.sql,tpcds,7,15.00
query13.sql,tpcds,7,14.19
query14.sql,tpcds,7,8.66
query15.sql,tpcds,7,14.69
query16.sql,tpcds,7,21.56
query17.sql,tpcds,7,27.62
query18.sql,tpcds,7,15.94
