query,dataset,run_number,listener_register_time
query39.sql,tpcds,5,8.29
query4.sql,tpcds,5,59.74
query40.sql,tpcds,5,18.77
query41.sql,tpcds,5,11.49
query42.sql,tpcds,5,13.35
query43.sql,tpcds,5,12.55
query44.sql,tpcds,5,16.83
query45.sql,tpcds,5,13.94
query46.sql,tpcds,5,14.99
query47.sql,tpcds,5,33.61
query48.sql,tpcds,5,14.85
query49.sql,tpcds,5,24.00
query5.sql,tpcds,5,20.59
query50.sql,tpcds,5,20.40
query51.sql,tpcds,5,31.47
query52.sql,tpcds,5,12.99
query53.sql,tpcds,5,14.62
query54.sql,tpcds,5,19.84
query55.sql,tpcds,5,14.14
query56.sql,tpcds,5,16.74
query57.sql,tpcds,5,24.19
query58.sql,tpcds,5,16.48
query59.sql,tpcds,5,17.85
query6.sql,tpcds,5,19.55
query60.sql,tpcds,5,17.56
query61.sql,tpcds,5,13.56
query62.sql,tpcds,5,14.16
query63.sql,tpcds,5,14.39
query64.sql,tpcds,5,51.19
query65.sql,tpcds,5,19.06
query66.sql,tpcds,5,16.60
query67.sql,tpcds,5,7.93
query68.sql,tpcds,5,15.63
query69.sql,tpcds,5,16.19
query7.sql,tpcds,5,16.19
query70.sql,tpcds,5,15.83
query71.sql,tpcds,5,14.45
query72.sql,tpcds,5,33.53
query73.sql,tpcds,5,14.30
query74.sql,tpcds,5,41.36
query75.sql,tpcds,5,41.83
query76.sql,tpcds,5,15.86
query77.sql,tpcds,5,35.21
query78.sql,tpcds,5,37.90
query79.sql,tpcds,5,14.86
query8.sql,tpcds,5,14.69
query80.sql,tpcds,5,33.42
query81.sql,tpcds,5,16.74
query82.sql,tpcds,5,15.14
query83.sql,tpcds,5,15.70
query84.sql,tpcds,5,14.83
query85.sql,tpcds,5,17.62
query86.sql,tpcds,5,13.99
query87.sql,tpcds,5,25.46
query88.sql,tpcds,5,18.05
query89.sql,tpcds,5,14.77
query9.sql,tpcds,5,18.57
query90.sql,tpcds,5,13.13
query91.sql,tpcds,5,12.75
query92.sql,tpcds,5,13.71
query93.sql,tpcds,5,23.08
query94.sql,tpcds,5,18.46
query95.sql,tpcds,5,26.84
query96.sql,tpcds,5,11.48
query97.sql,tpcds,5,18.77
query98.sql,tpcds,5,15.10
query99.sql,tpcds,5,14.39
1.sql,tpch,6,31.11
10.sql,tpch,6,23.95
11.sql,tpch,6,12.53
12.sql,tpch,6,17.93
13.sql,tpch,6,17.69
14.sql,tpch,6,14.35
15.sql,tpch,6,17.66
16.sql,tpch,6,20.47
17.sql,tpch,6,35.67
18.sql,tpch,6,35.57
19.sql,tpch,6,15.88
2.sql,tpch,6,20.20
20.sql,tpch,6,22.49
21.sql,tpch,6,31.87
22.sql,tpch,6,14.66
3.sql,tpch,6,21.33
4.sql,tpch,6,17.43
5.sql,tpch,6,25.72
6.sql,tpch,6,11.69
7.sql,tpch,6,25.19
8.sql,tpch,6,28.87
9.sql,tpch,6,33.22
query1.sql,tpcds,6,16.61
query10.sql,tpcds,6,18.82
query11.sql,tpcds,6,41.37
query12.sql,tpcds,6,15.06
query13.sql,tpcds,6,13.33
query14.sql,tpcds,6,8.12
query15.sql,tpcds,6,14.09
query16.sql,tpcds,6,21.34
query17.sql,tpcds,6,26.96
query18.sql,tpcds,6,15.66
query19.sql,tpcds,6,14.64
query2.sql,tpcds,6,16.70
query20.sql,tpcds,6,14.61
query21.sql,tpcds,6,14.27
query22.sql,tpcds,6,14.10
query23.sql,tpcds,6,8.24
query24.sql,tpcds,6,8.49
query25.sql,tpcds,6,26.94
query26.sql,tpcds,6,14.18
query27.sql,tpcds,6,15.09
query28.sql,tpcds,6,22.77
query29.sql,tpcds,6,25.67
query3.sql,tpcds,6,12.52
query30.sql,tpcds,6,8.70
query31.sql,tpcds,6,21.77
query32.sql,tpcds,6,14.38
query33.sql,tpcds,6,16.89
query34.sql,tpcds,6,15.27
query35.sql,tpcds,6,20.88
query36.sql,tpcds,6,15.07
query37.sql,tpcds,6,14.08
query38.sql,tpcds,6,25.67
query39.sql,tpcds,6,8.51
query4.sql,tpcds,6,61.01
query40.sql,tpcds,6,17.56
query41.sql,tpcds,6,11.16
query42.sql,tpcds,6,12.80
query43.sql,tpcds,6,13.00
query44.sql,tpcds,6,16.66
query45.sql,tpcds,6,14.41
query46.sql,tpcds,6,15.27
query47.sql,tpcds,6,32.70
query48.sql,tpcds,6,14.96
query49.sql,tpcds,6,22.43
query5.sql,tpcds,6,20.24
query50.sql,tpcds,6,20.09
query51.sql,tpcds,6,30.43
query52.sql,tpcds,6,13.61
query53.sql,tpcds,6,14.74
query54.sql,tpcds,6,19.28
query55.sql,tpcds,6,13.18
query56.sql,tpcds,6,17.02
query57.sql,tpcds,6,23.61
query58.sql,tpcds,6,17.25
query59.sql,tpcds,6,17.58
query6.sql,tpcds,6,19.06
query60.sql,tpcds,6,17.02
query61.sql,tpcds,6,13.59
query62.sql,tpcds,6,14.39
query63.sql,tpcds,6,14.49
query64.sql,tpcds,6,52.72
query65.sql,tpcds,6,19.39
query66.sql,tpcds,6,16.54
query67.sql,tpcds,6,8.13
query68.sql,tpcds,6,15.24
query69.sql,tpcds,6,15.44
query7.sql,tpcds,6,15.76
query70.sql,tpcds,6,15.24
query71.sql,tpcds,6,15.14
query72.sql,tpcds,6,33.46
query73.sql,tpcds,6,13.94
query74.sql,tpcds,6,42.62
query75.sql,tpcds,6,40.15
query76.sql,tpcds,6,15.86
query77.sql,tpcds,6,36.25
query78.sql,tpcds,6,39.23
query79.sql,tpcds,6,15.10
query8.sql,tpcds,6,14.48
query80.sql,tpcds,6,32.28
query81.sql,tpcds,6,17.21
query82.sql,tpcds,6,15.90
query83.sql,tpcds,6,16.22
query84.sql,tpcds,6,14.85
query85.sql,tpcds,6,17.88
query86.sql,tpcds,6,13.64
query87.sql,tpcds,6,25.94
query88.sql,tpcds,6,18.43
query89.sql,tpcds,6,14.91
query9.sql,tpcds,6,18.63
query90.sql,tpcds,6,13.04
query91.sql,tpcds,6,13.04
